farmer_id,phl_risk_score,avg_annual_phl_loss,interventions_adopted
YF1000,0.51,0.114,3
YF1001,0.58,0.105,2
YF1002,0.3,0.026,1
YF1003,0.38,0.06,0
YF1004,0.25,0.021,1
YF1005,0.67,0.096,0
YF1006,0.42,0.06,1
YF1007,0.77,0.063,2
YF1008,0.73,0.096,0
YF1009,0.33,0.03,2
YF1010,0.47,0.101,2
YF1011,0.24,0.058,0
YF1012,0.39,0.032,0
YF1013,0.52,0.127,3
YF1014,0.46,0.076,3
YF1015,0.59,0.073,3
YF1016,0.47,0.039,2
YF1017,0.5,0.08,2
YF1018,0.52,0.112,3
YF1019,0.56,0.111,2
YF1020,0.31,0.025,2
YF1021,0.66,0.055,0
YF1022,0.78,0.111,0
YF1023,0.16,0.02,2
YF1024,0.63,0.07,3
YF1025,0.79,0.095,1
YF1026,0.49,0.105,3
YF1027,0.31,0.073,1
YF1028,0.86,0.123,3
YF1029,0.44,0.103,0
YF1030,0.61,0.078,2
YF1031,0.27,0.041,2
YF1032,0.58,0.064,0
YF1033,1.0,0.185,1
YF1034,0.39,0.097,1
YF1035,0.68,0.121,1
YF1036,0.29,0.039,0
YF1037,0.25,0.047,1
YF1038,0.15,0.014,0
YF1039,0.48,0.11,3
YF1040,0.67,0.108,3
YF1041,0.36,0.054,0
YF1042,0.57,0.1,2
YF1043,0.45,0.081,3
YF1044,0.78,0.065,1
YF1045,0.38,0.074,0
YF1046,0.33,0.037,1
YF1047,0.49,0.096,1
YF1048,0.3,0.065,2
YF1049,0.37,0.079,1
YF1050,0.49,0.082,2
YF1051,0.13,0.021,3
YF1052,0.4,0.039,0
YF1053,0.7,0.148,1
YF1054,0.66,0.078,0
YF1055,0.57,0.092,1
YF1056,0.29,0.035,0
YF1057,0.21,0.02,1
YF1058,0.3,0.055,1
YF1059,0.39,0.031,1
YF1060,0.74,0.152,1
YF1061,0.15,0.019,1
YF1062,0.56,0.039,1
YF1063,0.49,0.079,1
YF1064,0.68,0.053,1
YF1065,0.56,0.067,1
YF1066,0.55,0.109,0
YF1067,0.97,0.079,2
YF1068,0.54,0.12,1
YF1069,0.73,0.052,2
YF1070,0.36,0.041,1
YF1071,0.53,0.109,1
YF1072,0.8,0.101,0
YF1073,0.09,0.008,3
YF1074,0.61,0.082,3
YF1075,0.58,0.069,0
YF1076,0.66,0.147,2
YF1077,0.2,0.025,3
YF1078,0.22,0.047,0
YF1079,0.35,0.082,0
YF1080,0.4,0.059,3
YF1081,0.3,0.069,2
YF1082,0.66,0.092,0
YF1083,0.27,0.066,1
YF1084,0.58,0.05,2
YF1085,0.16,0.031,2
YF1086,0.73,0.115,3
YF1087,0.57,0.08,3
YF1088,0.61,0.113,1
YF1089,0.19,0.038,0
YF1090,0.57,0.041,3
YF1091,0.15,0.015,3
YF1092,0.45,0.089,2
YF1093,0.97,0.183,3
YF1094,0.8,0.196,3
YF1095,0.57,0.119,3
YF1096,0.78,0.189,3
YF1097,0.17,0.034,2
YF1098,0.43,0.053,1
YF1099,0.23,0.021,1
YF1100,0.06,0.012,0
YF1101,0.56,0.103,3
YF1102,0.63,0.05,2
YF1103,0.61,0.082,0
YF1104,0.46,0.112,0
YF1105,0.46,0.073,1
YF1106,0.77,0.114,2
YF1107,0.56,0.085,2
YF1108,0.58,0.062,2
YF1109,0.26,0.035,1
YF1110,0.62,0.084,1
YF1111,0.85,0.068,1
YF1112,0.45,0.094,1
YF1113,0.56,0.081,1
YF1114,0.49,0.106,3
YF1115,0.46,0.103,3
YF1116,0.1,0.011,2
YF1117,0.48,0.09,0
YF1118,0.85,0.132,2
YF1119,0.29,0.065,0
YF1120,0.45,0.049,1
YF1121,0.35,0.067,0
YF1122,0.27,0.049,2
YF1123,0.59,0.073,2
YF1124,0.3,0.028,0
YF1125,0.68,0.127,3
YF1126,0.43,0.086,1
YF1127,0.13,0.016,1
YF1128,0.49,0.091,2
YF1129,0.43,0.06,3
YF1130,0.59,0.116,0
YF1131,0.33,0.035,1
YF1132,0.39,0.09,3
YF1133,0.26,0.031,1
YF1134,0.44,0.06,3
YF1135,0.48,0.038,3
YF1136,0.01,0.001,2
YF1137,0.3,0.049,1
YF1138,0.72,0.085,0
YF1139,0.68,0.151,2
YF1140,0.6,0.043,2
YF1141,1.0,0.138,0
YF1142,0.19,0.025,2
YF1143,0.49,0.036,3
YF1144,0.61,0.056,3
YF1145,0.16,0.022,1
YF1146,0.58,0.092,1
YF1147,0.63,0.089,0
YF1148,0.4,0.067,1
YF1149,0.5,0.089,3
YF1150,0.11,0.008,0
YF1151,0.55,0.085,0
YF1152,0.23,0.056,1
YF1153,0.87,0.142,3
YF1154,0.27,0.051,0
YF1155,0.47,0.06,3
YF1156,0.58,0.121,3
YF1157,0.27,0.057,3
YF1158,0.63,0.104,1
YF1159,0.42,0.104,2
YF1160,0.07,0.007,2
YF1161,0.13,0.009,0
YF1162,0.66,0.139,3
YF1163,0.36,0.077,1
YF1164,0.36,0.033,3
YF1165,0.35,0.042,3
YF1166,0.3,0.022,1
YF1167,0.6,0.074,2
YF1168,0.35,0.073,3
YF1169,0.95,0.155,3
YF1170,0.43,0.056,2
YF1171,0.65,0.088,1
YF1172,0.73,0.052,0
YF1173,0.4,0.049,2
YF1174,0.45,0.084,0
YF1175,0.79,0.194,0
YF1176,0.59,0.131,2
YF1177,0.67,0.05,3
YF1178,0.33,0.075,0
YF1179,0.95,0.201,0
YF1180,0.74,0.155,1
YF1181,0.27,0.041,3
YF1182,0.13,0.019,0
YF1183,1.0,0.125,1
YF1184,0.33,0.027,3
YF1185,0.52,0.058,2
YF1186,0.24,0.028,2
YF1187,0.27,0.042,1
YF1188,1.0,0.205,2
YF1189,0.68,0.106,0
YF1190,0.46,0.037,3
YF1191,0.45,0.11,0
YF1192,0.78,0.187,0
YF1193,0.28,0.06,2
YF1194,0.54,0.134,0
YF1195,0.2,0.034,2
YF1196,0.18,0.045,3
YF1197,0.47,0.04,3
YF1198,0.44,0.059,0
YF1199,0.42,0.046,1
